stop_loss,buy_threshold,sell_threshold,max_positions,prediction_steps,cumulative_profit_loss,number_of_trades,max_drawdown
0.97,1.0075,0.995,2,5,-0.04043781350188402,5,0.07530041065652918
0.97,1.0075,0.995,2,10,0.04103280382998251,5,0.0399333271159564
0.97,1.0075,0.995,2,15,0.0,2,0.0
0.97,1.0075,0.995,3,5,0.15766552618639382,8,0.03543824582280325
0.97,1.0075,0.995,3,10,0.024046071125951664,4,0.0
0.97,1.0075,0.995,3,15,0.0,3,0.0
0.97,1.0075,0.9925,1,5,0.0010813140596391824,3,0.021816883921187916
0.97,1.0075,0.9925,1,10,0.0,1,0.0
0.97,1.0075,0.9925,1,15,0.0,1,0.0
0.97,1.0075,0.9925,2,5,0.08857194430385082,6,0.02005493022256996
0.97,1.0075,0.9925,2,10,-0.03655186504604978,5,0.07989307350507888
0.97,1.0075,0.9925,2,15,0.0,2,0.0
0.97,1.0075,0.9925,3,5,-0.0736748466768134,7,0.08956993792066906
0.97,1.0075,0.9925,3,10,0.0,3,0.0
0.97,1.0075,0.9925,3,15,0.0,3,0.0
0.98,1.0025,0.9975,1,5,0.03667640762394049,4,0.020399151889885163
0.98,1.0025,0.9975,1,10,0.012632352761050108,2,0.0
0.98,1.0025,0.9975,1,15,0.03610296457179907,2,0.0
0.98,1.0025,0.9975,2,5,0.06128759867314593,5,0.0
0.98,1.0025,0.9975,2,10,0.021262952246531647,4,0.0
0.98,1.0025,0.9975,2,15,0.05147639925493552,4,0.0
0.98,1.0025,0.9975,3,5,-0.08422449309643834,7,0.09767464961736454
0.98,1.0025,0.9975,3,10,0.026907360857962,4,0.0
0.98,1.0025,0.9975,3,15,0.0,3,0.0
0.98,1.0025,0.995,1,5,-0.007410727221404605,3,0.02799511362876351
0.98,1.0025,0.995,1,10,0.0,1,0.0
0.98,1.0025,0.995,1,15,0.0,1,0.0
0.98,1.0025,0.995,2,5,0.05391603728126706,4,0.0
0.98,1.0025,0.995,2,10,0.0,2,0.0
0.98,1.0025,0.995,2,15,0.0,2,0.0
0.98,1.0025,0.995,3,5,-0.06735054156762532,7,0.0939526409572389
0.98,1.0025,0.995,3,10,0.0,3,0.0
0.98,1.0025,0.995,3,15,0.0,3,0.0
